Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
blood;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*s-hywy;0.98;"Прасино-тибетский / Proto-Sino-Tibetan: *s-hywy; Праиндоевропейский / Proto-Indo-European: *ésh₂r̥ / *krúh₂s; Прауральский / Proto-Uralic: *weri; Proto-Lezgian: *ʔäʔ"
blood;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wɨla-yɨʔ;0.98;Proto-Cahuapanan: *wɨla-yɨʔ
bone;branch_african;Proto-Sapiens Africanus (Праафриканский);*ḳ-sʼ / ʕ-sʼ-m;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ḳ-sʼ / *ʕ-sʼ-m; Прасемитский / Proto-Semitic: *ʕaẓm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: qs; Proto-Kalahari Khoe: *ǀʼõã"
bone;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*rus;0.98;"Прасино-тибетский / Proto-Sino-Tibetan: *rus; Праиндоевропейский / Proto-Indo-European: *h₂óst-; Прауральский / Proto-Uralic: *luwi; Proto-Lezgian: *yirƛʼː"
bone;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*lansɪʔ ~ lansɨʔ;0.98;"Proto-Cahuapanan: *lansɪʔ ~ *lansɨʔ; Proto-Jabuti: *ǯi ~ *ʔi"
brother;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔaḫ-;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʔaḫ-; Прасемитский / Proto-Semitic: *ʔaḫw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: sn; Old Akkadian / Древнеаккадский [akk]: ahu"
brother;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*bVr- / pVr-;0.98;"Борейский праязык / Proto-Borean: *bVr- / *pVr-; Ностратический праязык / Proto-Nostratic: *b/pVr- (старший родственник); Сино-кавказский праязык / Proto-Sino-Caucasian: *wVrV; Прасино-тибетский / Proto-Sino-Tibetan: *k-ray / *t-say"
brother;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*tA;0.70;Reconstructed via comparative macrofamily root
burn;branch_african;Proto-Sapiens Africanus (Праафриканский);*dao;0.98;"Proto-Kalahari Khoe: *dao; Proto-Khoekhoe: *dao; Proto North Khoisan: *kūʔú; Proto-!Wi: *ǁa #"
burn;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*dʰegʷʰ-;0.98;"Праиндоевропейский / Proto-Indo-European: *dʰegʷʰ-; Proto-Lezgian: *ʔokːʷɨ-; Proto-Nakh: *=aːkʼ-; Proto-Yeniseian: *qɔʔt"
burn;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*aʼpɨʔ-;0.98;"Proto-Cahuapanan: *aʼpɨ(ʔ)- #; Proto-Jabuti: *čə"
claw / nail;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǁoro;0.98;"Proto-Kalahari Khoe: *ǁoro; *ǁa; Proto-Khoekhoe: *ǁoro-; Proto North Khoisan: *ūʔrú; Proto-!Wi: *ǁqor-"
claw / nail;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*mːäɬː;0.98;"Proto-Lezgian: *mːäɬː; Proto-Nakh: *mʡaːra; Proto-Yeniseian: *ʔiːɲe [*xiːɲe]; Proto-Taa: *ǁqu-re #"
claw / nail;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*tuʔ-tɨʔ-ɾa;0.98;"Proto-Cahuapanan: *tuʔ-tɨʔ-ɾa; Proto-Jabuti: *nĩ=kətəy"
cloud;branch_african;Proto-Sapiens Africanus (Праафриканский);*!à=!kxúí;0.98;Proto North Khoisan: *!à=!kxúí #
